id,agent,n_steps_src,n_steps_trg,nllik_org,nllik_opp
607ec7379eac7be04ab448e3,15.0,2,1,0.7069782614707947,0.5546740293502808
5e13ff1b94d5eea33e200fce,20.0,2,1,0.5319828391075134,0.5638750791549683
6006ae13a40ec00348555219,22.0,2,1,0.7391933798789978,0.5529733896255493
6692d088fc492a0498191caf,31.0,2,1,0.4958131313323974,0.5657891035079956
61190367632a534f9e11b013,34.0,2,1,0.6550450921058655,0.5574109554290771
666b0a3508c2f3faa9cd0057,37.0,2,1,0.5075482130050659,0.5651656985282898
66d9ae66f6f721f4db56007c,39.0,2,1,0.5244330763816833,0.5642780065536499
66159b3aa54492fae356f2d1,40.0,2,1,0.3677981197834015,0.5725156664848328
5f4469a101c96e20702a9ece,43.0,2,1,0.4500348269939422,0.5681911706924438
66aa651e21c9af8ebcd8081e,47.0,2,1,0.6038601398468018,0.5601008534431458
5ed9c3054268815691ed0e2c,49.0,2,1,0.3453558087348938,0.5737109184265137
5e9fd839311b8018f88c99eb,63.0,2,1,0.6687203645706177,0.5566827058792114
66715c98b42ef93f2389ce3f,67.0,2,1,0.6052502393722534,0.5600182414054871
66dae86be0d77b33d6805623,72.0,2,1,0.7337918281555176,0.553253173828125
5e3c407472a17401e4754bd0,75.0,2,1,0.6296172142028809,0.5587343573570251
64e114532a07493224e3a5a1,82.0,2,1,0.5420913100242615,0.5633401274681091
615e056d45156d8d481b5856,85.0,2,1,0.4988345205783844,0.5656338334083557
66ce527e14f31490d3e5e44b,91.0,2,1,0.585964560508728,0.5610353350639343
5dfbefa35777b591c3999842,0.0,3,2,0.6592172980308533,0.5816892385482788
66cf32c269c7951c97de25fc,1.0,3,2,0.5197659730911255,0.5832858085632324
66fc6d168db73b4d68af6cfb,2.0,3,2,0.4624876976013183,0.5840324759483337
5d251b0c86fe240017764b36,3.0,3,2,0.5489175915718079,0.5826722383499146
65f5877e1c411d371249dd22,5.0,3,2,0.4670830368995666,0.583990216255188
667f23d046fa0aeeb5153736,6.0,3,2,0.4334674179553985,0.5845579504966736
669a687aa4b63a61f8f5b07f,8.0,3,2,0.8014521598815918,0.5803426504135132
664382feed568375e3bf2618,9.0,3,2,0.5708650350570679,0.5835027694702148
666c6160d7613a472a88bc12,10.0,3,2,0.5793027877807617,0.5828801393508911
66c086c91cd54d5495701e9b,11.0,3,2,0.6946779489517212,0.5805819630622864
6681e779f60d20a3b2b27bb3,12.0,3,2,0.7436208724975586,0.5816951394081116
65b84104763d1e7cd0d60507,13.0,3,2,0.4086368978023529,0.5847219824790955
614f11b6fe832a304632a860,14.0,3,2,0.6326689720153809,0.5823916792869568
660c9c26e4220931438f3d30,16.0,3,2,0.4333210289478302,0.5861032009124756
669f5d4b56cd9e5a3615a8ed,17.0,3,2,0.5859184861183167,0.5826505422592163
6659e2d753ad8a42fde08e10,18.0,3,2,0.6369196176528931,0.5817796587944031
5fbdc4f0784d3f225d8d96d1,19.0,3,2,0.4796543419361114,0.5836809277534485
60e20896098befdcf5e59441,21.0,3,2,0.7347952723503113,0.5813388824462891
65ba49256dc8eda1950b70b3,23.0,3,2,0.7211140990257263,0.5803778767585754
5e248b6f0c0b31718a9d3f31,24.0,3,2,0.4454116821289062,0.5845043659210205
612520bd6605794b27e6a0fd,25.0,3,2,0.5498079061508179,0.5831616520881653
66aa5aaa7f31ee53f61079ac,26.0,3,2,0.4667865633964538,0.5840649008750916
66da1ee997e80ed7628558f3,27.0,3,2,0.5997930765151978,0.5822421908378601
664c9a37d570871d534dd3c2,28.0,3,2,0.7212131023406982,0.5801689624786377
667783ecd51176477fc57977,29.0,3,2,0.2738971710205078,0.5875542163848877
66a2d042a6eb6d2766577b3f,30.0,3,2,0.6166132092475891,0.5819534659385681
5e15bb77e78021b9d45d8cf4,32.0,3,2,0.5739622116088867,0.5823528170585632
61232b43bd4b37c8d76a7b37,35.0,3,2,0.6045854687690735,0.5829274654388428
5e23c2569138e066e7e892f7,36.0,3,2,0.3765839338302612,0.5856866836547852
6689e94d0b49a04be9a2ac5c,41.0,3,2,0.520980179309845,0.5833838582038879
5ce031fc7f65ee001a985a6b,44.0,3,2,0.5949615836143494,0.582104504108429
6122f17c5f84f0f57feca3e6,45.0,3,2,0.7066608667373657,0.5804554224014282
666ee913519a8d810a4c38d9,48.0,3,2,0.574571967124939,0.582349419593811
64f03390a3ce93b12a268959,50.0,3,2,0.7570002675056458,0.5798495411872864
661094be457866d2fd65a77d,52.0,3,2,0.5742074847221375,0.5823264718055725
5fc4c49da0603a4d5feae548,53.0,3,2,0.5423567891120911,0.5836610794067383
5d585e287d795e001788bf4c,54.0,3,2,0.7066660523414612,0.5812273621559143
6686926932e11d5550389cb1,55.0,3,2,0.2370020747184753,0.5887837409973145
5c5fbade4cc94200016a5c15,56.0,3,2,0.7219083905220032,0.5801755785942078
66301c9c390de66737e2ae4c,57.0,3,2,0.5709282755851746,0.5826439261436462
66daf1642fab82cb5a1df01b,59.0,3,2,0.5523459911346436,0.5825846195220947
60fc60249c2c3912c3b084af,60.0,3,2,0.5494657158851624,0.5844922661781311
66d0a027b8886581c95f2768,61.0,3,2,0.5260804295539856,0.5830937027931213
5d65e31c367c8600019f2b13,62.0,3,2,0.5111956000328064,0.5840438008308411
612512862963825fa66941bf,64.0,3,2,0.4875123202800751,0.5835370421409607
65fd910b6214e647ea9c6175,65.0,3,2,0.6812549233436584,0.5813519954681396
60e20b0026ccfc52c0877202,66.0,3,2,0.7902731895446777,0.5790789127349854
65ab079fde17d72bca5e774b,70.0,3,2,0.4670248329639435,0.5839450359344482
5d7957036797da0019537ad1,71.0,3,2,0.8707180023193359,0.5780191421508789
5f1f459122764312bfbe265e,73.0,3,2,0.3727338016033172,0.5860636830329895
6500c323c1cfec3960e2b000,74.0,3,2,0.446021169424057,0.5858690142631531
5e7414b9929931398ae59f02,76.0,3,2,0.6855470538139343,0.5819166898727417
66b616b0db06f7953a7c1e1f,77.0,3,2,0.5962841510772705,0.5824928283691406
60db30cbbbee552378774e50,78.0,3,2,0.6477248072624207,0.5812274813652039
